Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,DummySub_Counts,physics_yield,physics_yield_error,%error/yield
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,14,312,336,144.33333333333326,0.046844667338197116,0.005232698455306567,11.170318315057875
Q3p85_W2p62_t0p21_loweps_center,4,0.31,0.358,15,336,360,107.5,0.03555882437328067,0.004837358283043337,13.603819497132156
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,1,0,24,74.66666666666666,0.023800343945900516,0.003721964034919539,15.638278351690072
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,2,24,48,127.66666666666667,0.04222954956578759,0.005609879104334989,13.284250393425584
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,3,48,72,272.16666666666674,0.09002722511870902,0.009979680436512074,11.08518053661319
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,4,72,96,263.00000000000006,0.08250568603165485,0.008264965721710416,10.017449850110218
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,5,96,120,146.16666666666666,0.04385958388332964,0.0059199585815662295,13.497525643001634
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,6,120,144,72.00000000000001,0.02381614283605775,0.0036242957128191835,15.217811455732383
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,7,144,168,26.999999999999996,0.008033175309065985,0.0022672682777005637,28.223811761481134
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,8,168,192,21.499999999999996,0.005316008365744792,0.002480356442826539,46.65824942657012
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,9,192,216,22.33333333333333,0.007387414675999394,0.0017609118998347687,23.83664620257082
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,10,216,240,57.66666666666667,0.01907496625295366,0.0031751081014095464,16.645419233273334
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,11,240,264,123.66666666666666,0.03641703924706158,0.005541539774897521,15.216887175540109
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,12,264,288,258.83333333333337,0.07843380226157148,0.008559790602076381,10.913394933386057
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,13,288,312,309.5,0.10058057970997583,0.008854085669635553,8.802977369156466
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,14,312,336,122.33333333333334,0.03956751258273504,0.004801785679680455,12.135677393518225
Q3p85_W2p62_t0p21_loweps_center,5,0.358,0.5,15,336,360,95.99999999999997,0.030856978860287997,0.004177350400210424,13.537781579733807
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,1,0,24,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,2,24,48,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,3,48,72,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,4,72,96,2.3333333333333335,0.0008103066164648475,0.0006168120333223445,76.12081905653585
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,5,96,120,22.166666666666668,0.006837841580078898,0.002147160326042322,31.401141733054704
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,6,120,144,124.33333333333334,0.042317695572432576,0.004867724551407936,11.502811023998587
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,7,144,168,240.0,0.08334582340781294,0.009227336200310274,11.071144087401617
Q3p85_W2p62_t0p21_loweps_left,1,0.16,0.236,8,168,192,236.50000000000003,0.07869007837776708,0.007804289408696413,9.91775528705207
